event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,estimation_n,model,beta,alpha
15,2021-05-19,Reg_Negative,China mining crackdown announcement,BTC,-0.34826457854995635,-1.8052208190836854,0.07224801562711325,250,ew_market_model,0.34824841500352766,0.00324888952405221
15,2021-05-19,Reg_Negative,China mining crackdown announcement,ETH,-0.3499596841589131,-1.5579824271578384,0.12050747741320489,250,ew_market_model,0.6906009588276757,0.0010992664492158713
15,2021-05-19,Reg_Negative,China mining crackdown announcement,SOL,0.1710606589671184,0.3200127170662063,0.7492270488535002,250,ew_market_model,0.763876530942273,0.006656685519726474
15,2021-05-19,Reg_Negative,China mining crackdown announcement,ADA,-0.20153922079356645,-0.5667120129594719,0.5714203290888464,250,ew_market_model,0.7312656497156447,0.004177621520857172
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,BTC,-0.14045956242290514,-0.6992349298520301,0.485055261313434,251,ew_market_model,0.3594659300971448,0.0028181955505164093
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,ETH,-0.21321478212269632,-0.9053101579107445,0.3661727320178705,251,ew_market_model,0.7011823373079709,0.0023831700745653786
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,SOL,-0.17217691688173764,-0.32030303386681375,0.7490061719705308,251,ew_market_model,0.6757361174786394,0.006321655696465701
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,ADA,-0.3643762148290883,-0.9954362614537811,0.32048662434402475,251,ew_market_model,0.7232182702331831,0.005679316589229717
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,BTC,-0.20992777060396212,-0.9757137760093648,0.3301494950624084,251,ew_market_model,0.4466045319909314,-0.001102900676543129
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,ETH,-0.18614286215111317,-0.753108873360816,0.4520931001034372,251,ew_market_model,0.7980189659698759,-0.0005097061478570038
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,SOL,0.8298933569065402,1.5961332428364368,0.11172232167825324,251,ew_market_model,0.8444236387949258,0.008987517745887514
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,ADA,0.040778882671369934,0.10710762836116901,0.9147894974200863,251,ew_market_model,0.8173443561811393,0.005305475443658697
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),BTC,-0.189540754317321,-0.8815646447707132,0.37885905355606475,251,ew_market_model,0.4478069339956242,-0.0011725269813151213
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),ETH,-0.4202905638484218,-1.6951386476188868,0.0912942061340829,251,ew_market_model,0.803223490590032,-0.0006417884042852677
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),SOL,1.1418374151307447,2.199168434926908,0.028782079115552417,251,ew_market_model,0.8425035210368247,0.009137440892858489
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),ADA,-0.11043667658211008,-0.2904098381078075,0.7717434699734711,251,ew_market_model,0.8160765430825685,0.005296359995965989
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,BTC,0.28183111873278965,1.3476606374653708,0.17898755627164764,251,ew_market_model,0.46429576356273994,-0.00220407657727715
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,ETH,0.15738997753992515,0.6280463780399017,0.5305468486060807,251,ew_market_model,0.7983985665286721,-0.0016550866902724714
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,SOL,-0.2841188065309158,-0.5598356336253917,0.5760928123245912,251,ew_market_model,0.8278503156438213,0.011887595539307376
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,ADA,-0.48067166742837625,-1.2560251982009247,0.2102793476836733,251,ew_market_model,0.7896586276629651,0.0056705172834434275
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,BTC,0.1149889100337575,0.5907070341545945,0.5552503619633224,251,ew_market_model,0.5063940430835877,-0.004212131717408902
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,ETH,0.18684941783873796,0.7692592414137847,0.4424655950370404,251,ew_market_model,0.801861179536734,-0.002829104439521072
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,SOL,-0.17930650547646235,-0.3801767579286633,0.7041370037602697,251,ew_market_model,0.8359031677268453,0.014423352656979265
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,ADA,-0.4339085811042988,-1.2065295576600883,0.228753838918901,251,ew_market_model,0.8032182118071376,0.0035592527338332166
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,BTC,0.1269416641444814,0.7510512613988665,0.45332817536299563,251,ew_market_model,0.5233566101937897,-0.003273009705900911
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,ETH,-0.02262554589739571,-0.1119142233645872,0.9109812219013735,251,ew_market_model,0.8763002213342278,0.00044325580222549636
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,SOL,-0.6036003748343302,-1.4810094475311244,0.13986326472301513,251,ew_market_model,0.953448412627811,0.01029615337606246
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,ADA,0.15979905275151962,0.6122611329393663,0.5409214616043307,251,ew_market_model,0.852100865799186,-0.0026617929099735154
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,BTC,-0.06608906600212514,-0.45397128575003287,0.6502433497509872,251,ew_market_model,0.5898035726879736,-0.0004423228625177451
