event_id,event_date,event_type,symbol,pre_event_car,pre_event_t_stat,pre_event_p_value
5,2019-08-05,Infra_Positive,BTC,-0.1236798090683303,-0.7049750539052476,0.48189062075034506
5,2019-08-05,Infra_Positive,ETH,-0.36008390676294005,-1.466585069245482,0.1445280289816906
5,2019-08-05,Infra_Positive,ADA,-0.4394502890627287,-1.5299244291455116,0.12808695599501552
6,2019-10-24,Reg_Positive,BTC,-0.3914847190792535,-1.8710389339487832,0.06258771645596539
6,2019-10-24,Reg_Positive,ETH,-0.2528194196783033,-1.0248536546324956,0.30649052786248077
6,2019-10-24,Reg_Positive,ADA,-0.2677712950619077,-0.9576381554693367,0.33923360866744856
7,2020-03-12,Infra_Negative,BTC,-0.2636256817146146,-1.214077479811628,0.22586376795088192
7,2020-03-12,Infra_Negative,ETH,-0.09485460919245198,-0.41566393383873157,0.6780124925217583
7,2020-03-12,Infra_Negative,ADA,-0.3352722965990985,-1.3612928829641822,0.17464682391678266
8,2020-05-11,Infra_Positive,BTC,0.288756684552712,1.5634126091808411,0.11922050294443687
8,2020-05-11,Infra_Positive,ETH,0.2244633303105172,0.9856783818391855,0.32524393970726084
8,2020-05-11,Infra_Positive,ADA,0.4456242331584778,1.8973184761140087,0.058938219597475916
11,2020-12-01,Infra_Positive,BTC,0.3206117908254589,1.3732046966649563,0.17091904631396337
11,2020-12-01,Infra_Positive,ETH,0.35551019757326296,1.1462620679247657,0.2527826896368439
11,2020-12-01,Infra_Positive,ADA,0.5240553246170567,1.5451421625894557,0.12357676482612989
12,2020-12-22,Reg_Negative,BTC,0.15959175803810305,0.6857424446816509,0.4935109448157078
12,2020-12-22,Reg_Negative,ETH,0.03127577273085674,0.1024508525304637,0.9184809495022006
12,2020-12-22,Reg_Negative,ADA,0.08428763735478564,0.2507443691054326,0.8022177091242808
15,2021-05-19,Reg_Negative,BTC,-0.48055176738274463,-2.3541704532388437,0.0193384400214498
15,2021-05-19,Reg_Negative,ETH,0.19051676305435206,0.6871129922209082,0.4926484208274071
15,2021-05-19,Reg_Negative,SOL,0.2983961587277767,0.5580194797582164,0.5774010810582837
15,2021-05-19,Reg_Negative,ADA,0.19289419990504225,0.5063234652109735,0.6130758072041949
16,2021-06-09,Reg_Positive,BTC,-0.7139270281733928,-3.4785997835700972,0.0005944084674307515
16,2021-06-09,Reg_Positive,ETH,-0.5391577669094266,-1.9334334616985749,0.05431185299067476
16,2021-06-09,Reg_Positive,SOL,-0.15247713908554295,-0.2932886705205467,0.7695549554404697
16,2021-06-09,Reg_Positive,ADA,-0.24783689410469678,-0.6563689906886884,0.5121904171229805
17,2021-08-05,Infra_Positive,BTC,0.0092244374742744,0.039143827372805334,0.9688069589704467
17,2021-08-05,Infra_Positive,ETH,-0.05179197673804126,-0.15836079063010344,0.8743003513965737
17,2021-08-05,Infra_Positive,SOL,-0.30109583440214194,-0.5658470865967599,0.5720052613976905
17,2021-08-05,Infra_Positive,ADA,-0.42466468381689904,-1.0099360196655505,0.3135024110910045
18,2021-08-10,Infra_Negative,BTC,0.16277900417646732,0.6779850977848518,0.49840815397835625
18,2021-08-10,Infra_Negative,ETH,0.14080295776610516,0.42863476878241547,0.6685581263001841
18,2021-08-10,Infra_Negative,SOL,-0.21825295767938535,-0.4100176230722616,0.6821441532514325
18,2021-08-10,Infra_Negative,ADA,-0.3069794208460679,-0.7289340387213611,0.4667243207570939
