check_type,variation,n_events,car_mean,car_std,t_stat,p_value,consistent
window_sensitivity,"[-1, +5]",118,-0.04272677253881819,0.15638301360398177,-2.9679153796202695,0.003637011327830786,True
window_sensitivity,"[-3, +10]",118,-0.06924881468470527,0.21198336436349216,-3.548555215426638,0.00055861619207076,True
window_sensitivity,"[-5, +30]",118,-0.047117164401733795,0.34900033104407313,-1.4665413431919985,0.14518354587583215,True
window_sensitivity,"[-5, +60]",118,-0.11614868934115997,0.5079483091798059,-2.4839096692553517,0.014410859365519002,True
window_sensitivity,"[-10, +30]",118,-0.033581249836750905,0.38267496760387354,-0.9532521760722708,0.34242756764506255,True
estimation_sensitivity,120 days,118,-0.058650551241739804,0.39630825350466414,-1.607607356629053,0.11061654523399311,True
estimation_sensitivity,180 days,118,-0.04779992025352072,0.3524534598875823,-1.4732159002680423,0.14337809635605914,True
estimation_sensitivity,250 days,118,-0.047117164401733795,0.34900033104407313,-1.4665413431919985,0.14518354587583215,True
estimation_sensitivity,365 days,118,-0.04217202349280693,0.3716492568678633,-1.2326284140397883,0.22018554350261454,True
leave_one_out_event,Excl. QuadrigaCX,118,-0.047117164401733795,0.34900033104407313,-1.4665413431919985,0.14518354587583215,True
leave_one_out_event,Excl. SEC FinHub,118,-0.047117164401733795,0.34900033104407313,-1.4665413431919985,0.14518354587583215,True
leave_one_out_event,Excl. Binance hack '19,118,-0.047117164401733795,0.34900033104407313,-1.4665413431919985,0.14518354587583215,True
leave_one_out_event,Excl. LTC halving '19,115,-0.04088606070148233,0.35075180928610694,-1.2500410336442118,0.21384458286539054,True
leave_one_out_event,Excl. China blockchain,115,-0.04420336785131157,0.3527708610041411,-1.3437286426123327,0.18170457942175222,True
leave_one_out_event,Excl. Black Thursday,115,-0.04306345703590982,0.35259778083885135,-1.3097193279942236,0.19292407971011638,True
leave_one_out_event,Excl. BTC halving '20,115,-0.05670435762975506,0.3467737920903718,-1.7535537703716224,0.0821946975129424,True
leave_one_out_event,Excl. ETH2 Beacon,115,-0.05420550681503997,0.3502297908852734,-1.6597368816603222,0.09971588048298785,True
leave_one_out_event,Excl. SEC v Ripple,115,-0.05790272309675545,0.34654181483279634,-1.791811267641149,0.07581608362127712,True
leave_one_out_event,Excl. Tesla buys BTC,114,-0.06664998953198129,0.3290408824929534,-2.1627317199566285,0.03266927225860261,False
leave_one_out_event,Excl. Coinbase listing,114,-0.05150281250818761,0.34988407543382266,-1.5716621531511357,0.11882483157832735,True
leave_one_out_event,Excl. China mining ban,114,-0.03136019104146286,0.34360626455096643,-0.9744735422269486,0.3319029279391317,True
leave_one_out_event,Excl. SV BTC legal,114,-0.029031667861325775,0.3403342999439881,-0.9107909182041685,0.364344333530531,True
leave_one_out_event,Excl. ETH EIP-1559,114,-0.06231862926933308,0.3383979663514411,-1.9662673757825453,0.05172002169164669,True
leave_one_out_event,Excl. Poly hack $611m,114,-0.06074318402017136,0.33445330090592024,-1.9391637855096056,0.05497460633959683,True
leave_one_out_event,Excl. China crypto ban,114,-0.039858904809901036,0.34902600389075245,-1.2193264712413492,0.22525937257442807,True
leave_one_out_event,Excl. BITO ETF,114,-0.039138899685952654,0.35013148407144423,-1.1935204734689042,0.23516532044471372,True
leave_one_out_event,Excl. Kazakh net off,114,-0.035694706243933096,0.3459067066789678,-1.1017860145263187,0.27289594707305986,True
leave_one_out_event,Excl. US crypto EO,114,-0.05013595416224898,0.3542180220705892,-1.51123170611548,0.1335209334240286,True
leave_one_out_event,Excl. Terra/UST crash,114,-0.03455542600974799,0.3436093620420842,-1.0737512661054018,0.2852217517285409,True
leave_one_out_event,Excl. Celsius freeze,114,-0.03967640542873956,0.3514292917235696,-1.2054433011098955,0.2305504184206102,True
leave_one_out_event,Excl. ETH Merge,114,-0.0450026555826336,0.35432534122308385,-1.356089501096313,0.17777433297038625,True
leave_one_out_event,Excl. BNB bridge hack,114,-0.05672373866117105,0.3508482757213454,-1.7262270854485207,0.08703964089122396,True
leave_one_out_event,Excl. FTX bankrupt,114,-0.03889829618312875,0.349642499051385,-1.1878423056257792,0.23738628200587897,True
leave_one_out_event,Excl. USDC depeg (SVB),114,-0.05418755232692644,0.35246229402821655,-1.6414939875364871,0.10347530823930007,True
leave_one_out_event,Excl. SEC v Binance,114,-0.045426314764345076,0.35434755046484945,-1.3687700586727511,0.17378605975426153,True
leave_one_out_event,Excl. SEC v Coinbase,114,-0.04561190368823214,0.354324541728036,-1.374451406973586,0.17202129609660433,True
leave_one_out_event,Excl. BlackRock BTC ETF,114,-0.0551407688682725,0.3507415220672882,-1.6785646039671627,0.09600036198725204,True
leave_one_out_event,Excl. Grayscale win,114,-0.04459981825457768,0.3546302674878894,-1.3427949985875427,0.18202944473102423,True
leave_one_out_event,Excl. Binance/CZ $4.3B,114,-0.05870898054933444,0.34716768148498445,-1.8055839090233399,0.07364573810199859,True
leave_one_out_event,Excl. US spot BTC ETFs,114,-0.046900417814466945,0.3546630488527033,-1.411930091612108,0.16071839618084627,True
leave_one_out_event,Excl. BTC halving '24,114,-0.04844698046564706,0.35482728180661777,-1.4578140634300532,0.14766544306436113,True
leave_one_out_event,Excl. Bybit hack '25,114,-0.04141783964748098,0.3526464112756883,-1.2540082666558714,0.2124269856555061,True
leave_one_out_event,Excl. SEC drops Coinbase,114,-0.041809476411661266,0.35311038293427083,-1.2642025635560528,0.2087588004891503,True
leave_one_out_asset,Excl. BTC,87,-0.04837747058395763,0.3869805435340749,-1.166040549856466,0.24682164061097644,True
