event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_pvalue,estimation_n
5,2019-08-05,Infrastructure,Litecoin second halving,BTC,-0.11033468195452392,-0.5057054528182304,0.6136687211869662,-0.5171856974009739,0.3070611522579183,0.5908,185
5,2019-08-05,Infrastructure,Litecoin second halving,ETH,-0.33802788067780465,-1.2591863111028376,0.20955810211950698,-0.754276089228411,0.026701494129913867,0.0824,185
5,2019-08-05,Infrastructure,Litecoin second halving,ADA,-0.4095658561017911,-1.3270300354051763,0.1861431240834126,-0.8705485464444646,0.023305798302089415,0.072,185
6,2019-10-24,Regulatory,China endorses blockchain as core technology,BTC,-0.2251973350514046,-1.0220159910758588,0.3077612787500905,-0.5835896096687989,0.3877326725493139,0.3332,251
6,2019-10-24,Regulatory,China endorses blockchain as core technology,ETH,-0.2153243155580799,-0.8556585232925488,0.39300601161505444,-0.566363936709007,0.2553808999201249,0.2924,251
6,2019-10-24,Regulatory,China endorses blockchain as core technology,ADA,-0.03591644589427234,-0.12463332287838284,0.9009140017366191,-0.3934413965914071,0.3554956504082219,0.8484,251
7,2020-03-12,Infrastructure,Black Thursday crash & exchange outages,BTC,-0.18001449156575067,-0.8106704879156251,0.41832597020125784,-1.5839325713786296,0.6233951824516482,0.7828,251
7,2020-03-12,Infrastructure,Black Thursday crash & exchange outages,ETH,-0.20832802454205868,-0.8756500639571415,0.38206083281457426,-1.6596720356230268,0.9013692282043092,0.7652,251
7,2020-03-12,Infrastructure,Black Thursday crash & exchange outages,ADA,-0.21918532416714925,-0.871952620864448,0.38407084887507925,-1.6519539476450977,0.7491505620033488,0.73,251
8,2020-05-11,Infrastructure,Bitcoin third halving (12.5 → 6.25 BTC),BTC,0.14361188175988085,0.5460665198999728,0.5855071701459442,-0.29013879878892457,0.581843791327983,0.5072,251
8,2020-05-11,Infrastructure,Bitcoin third halving (12.5 → 6.25 BTC),ETH,0.2076322670745131,0.6355638330690153,0.5256420820226873,-0.24974588051168145,0.6772694394236483,0.3772,251
8,2020-05-11,Infrastructure,Bitcoin third halving (12.5 → 6.25 BTC),ADA,0.6099315791828509,1.9082407351270474,0.05750555893049181,0.0124563820867845,1.3769024660191165,0.0584,251
11,2020-12-01,Infrastructure,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),BTC,0.3801775198188976,1.5003401696599927,0.1347881365781416,-0.0638116146281023,0.8202219536937435,0.0952,251
11,2020-12-01,Infrastructure,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),ETH,0.1853031109383796,0.560143100933058,0.5758834105362258,-0.36137635621215675,0.6785450028685854,0.4928,251
11,2020-12-01,Infrastructure,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),ADA,0.10832725356773248,0.2970194016725675,0.7666983299795487,-0.6487967326977717,0.8990580343388682,0.7968,251
12,2020-12-22,Regulatory,SEC sues Ripple over XRP sales,BTC,0.2169408139524853,1.1263078777006466,0.2611152160408703,-0.3865322600196359,0.7784636228156023,0.4452,251
12,2020-12-22,Regulatory,SEC sues Ripple over XRP sales,ETH,0.40647673763678055,1.565648840777677,0.11869573342938433,-0.42783378828108015,1.2874374822407395,0.3432,251
12,2020-12-22,Regulatory,SEC sues Ripple over XRP sales,ADA,0.4755702051330233,1.5000608408778109,0.1348604385457699,-0.5579275130564599,1.6297621994409535,0.3856,251
13,2021-02-08,Infrastructure,Tesla buys $1.5B in BTC for treasury,BTC,0.2672633239537411,1.4539275816005235,0.14722060762005262,-0.24473637875530815,0.9590541321710859,0.3776,251
13,2021-02-08,Infrastructure,Tesla buys $1.5B in BTC for treasury,ETH,-0.0645608618897874,-0.2475176453172358,0.804710797273051,-0.6710900389136033,0.5057977218430276,0.8464,251
13,2021-02-08,Infrastructure,Tesla buys $1.5B in BTC for treasury,SOL,1.0302493843178582,1.7217147090820535,0.0871965255479008,-0.13241864101518178,2.353411533318721,0.1048,150
13,2021-02-08,Infrastructure,Tesla buys $1.5B in BTC for treasury,ADA,0.8053215608594673,2.273403663148527,0.023850630758825098,-0.09107594511498725,2.0390456277118925,0.1116,251
14,2021-04-14,Infrastructure,Coinbase direct listing on Nasdaq,BTC,-0.41065813279104024,-1.8487327813965282,0.06567710702974283,-0.878011360306244,0.08166877343886912,0.0984,251
14,2021-04-14,Infrastructure,Coinbase direct listing on Nasdaq,ETH,0.3907170595146505,1.287058772577461,0.19926417664192098,-0.22807535251168778,1.0469112080933063,0.2292,251
14,2021-04-14,Infrastructure,Coinbase direct listing on Nasdaq,SOL,0.1572545957835676,0.265662620000127,0.7907548066173682,-0.6547914359103748,1.3199771273319754,0.7704,215
14,2021-04-14,Infrastructure,Coinbase direct listing on Nasdaq,ADA,0.17418170402162136,0.42380205690457723,0.6720745847244745,-0.5579916112586147,1.079065013829143,0.7004,251
15,2021-05-19,Regulatory,China mining crackdown announcement,BTC,-0.5137892810289867,-2.273906516039989,0.023819911797874793,-1.1906211305024768,0.19910220949463756,0.1548,251
15,2021-05-19,Regulatory,China mining crackdown announcement,ETH,-0.6529671450006573,-2.126468279552966,0.034444180510350364,-1.7063243969397075,0.4427128316169137,0.2308,251
15,2021-05-19,Regulatory,China mining crackdown announcement,SOL,-0.27109015392056957,-0.47361157371070967,0.6361918950910916,-1.9323197833080097,1.188214447735111,0.7496,250
15,2021-05-19,Regulatory,China mining crackdown announcement,ADA,-0.5469170407276082,-1.3207268161202068,0.18780017752135403,-1.653789103433456,0.5437997302474039,0.3372,251
