cap_level,cap_value,infra_car,infra_ci_low,infra_ci_high,infra_pvalue,reg_car,reg_ci_low,reg_ci_high,reg_pvalue,diff,diff_ci_low,diff_ci_high,diff_pvalue,ci_crosses_zero
±30%,0.3,-0.04997765518356669,-0.22715846196201872,0.1283561800007314,0.5924,-0.07758203235705936,-0.29183265980363254,0.1704876624957481,0.5128,0.02760437717349267,-0.27030568599622934,0.31660213948794397,0.8508,True
±50% (baseline),0.5,-0.058040535961154924,-0.2322550319662892,0.11453390808384778,0.5224,-0.08107521858612257,-0.2979907810200672,0.16408618101830047,0.5176,0.023034682624967648,-0.27591017794149714,0.3148572103418889,0.8792,True
±75%,0.75,-0.05152515868936041,-0.22103404994170833,0.1287445482019242,0.5788,-0.08107521858612257,-0.29410755596717275,0.17227209979093563,0.5004,0.02955005989676216,-0.2687767789004942,0.31957485765006804,0.8392,True
Uncapped,,-0.05152515868936041,-0.21981873756619077,0.12539726002085202,0.5668,-0.08107521858612257,-0.2997600053794391,0.15752532823335735,0.4664,0.02955005989676216,-0.26161984579105585,0.32201341656030735,0.8392,True
