event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_pvalue,estimation_n
7,2020-03-12,Infra_Negative,Black Thursday crash & exchange outages,BTC,-0.18001449156575067,-0.8106704879156251,0.41832597020125784,-1.644262424979214,0.5941551971890795,0.7736,251
7,2020-03-12,Infra_Negative,Black Thursday crash & exchange outages,ETH,-0.20832802454205868,-0.8756500639571415,0.38206083281457426,-1.6844937093093908,0.8428985817979917,0.7524,251
7,2020-03-12,Infra_Negative,Black Thursday crash & exchange outages,ADA,-0.21918532416714925,-0.871952620864448,0.38407084887507925,-1.6487568024380135,0.7300095315090964,0.742,251
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),BTC,0.012352297528933819,0.04472094181483244,0.9643654410467575,-0.4364555253043829,0.39657580503609974,0.9372,251
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),ETH,-0.04326695350260672,-0.11551836550524452,0.9081269964817167,-0.569730486890731,0.523500623668642,0.8636,251
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),SOL,1.1907453659876597,2.0286658742215518,0.04355233155844962,0.34788656468975515,2.0810164323766682,0.0052,251
18,2021-08-10,Infra_Negative,Poly Network cross-chain hack (~$611M),ADA,0.20506686888096198,0.4356068635328446,0.6634978552338575,-0.5304433770904357,1.038117329436153,0.6324,251
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,BTC,-0.2158338216658583,-1.0373828708271944,0.3005597859218607,-0.7390069801815567,0.24108535990882932,0.3828,251
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,ETH,-0.4585707421892377,-1.8162617321725116,0.0705278989861704,-1.043199882149328,0.08343062968094178,0.1168,251
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,SOL,-0.8818754527570373,-2.39354583735854,0.017424470222584754,-1.880878531831033,0.03789619457367813,0.0656,251
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,ADA,-0.06422681768118454,-0.20955222865921125,0.8341878292415508,-1.0045544565722115,0.9541382913474719,0.8892,251
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,BTC,-0.39241724860536176,-1.8561854889455545,0.06460369552602474,-0.9358324511509792,0.05087565881723454,0.1016,251
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,ETH,-0.4490557572423616,-1.7939941352604023,0.07402241702196011,-1.1263024459299247,0.22084829669313963,0.2028,251
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,SOL,-0.07465123864104545,-0.2111500436388562,0.8329422069019099,-0.8218255537428412,0.7360749904155729,0.8508,251
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,ADA,-0.12059093603950971,-0.39911474428018334,0.6901493746630778,-0.6946839152706559,0.42642111400240673,0.6684,251
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),BTC,0.20090515064337258,0.9570847170839221,0.33944910449353927,0.012378348855611215,0.42002912454074376,0.0444,251
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),ETH,0.30031873822548694,1.0646332316210376,0.28806911335585617,0.004443130793802494,0.6960369860350982,0.0668,251
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),SOL,0.308032189097509,0.8750035228531885,0.3824118386099591,-0.06702397576240043,0.7971909345440432,0.1356,251
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),ADA,0.09742473000254308,0.3068118523446465,0.7592419781024393,-0.23646709796987067,0.5761671562139397,0.6408,251
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,BTC,-0.12222181902890564,-0.572338491293739,0.5676069944089517,-0.6300412827409231,0.25803274734631093,0.6116,251
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,ETH,-0.13059943619163752,-0.46652537374199327,0.6412457582708058,-0.7784351913122527,0.5075673174950724,0.6752,251
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,SOL,-0.6738105565624377,-1.980795369162676,0.04871021308060963,-1.983582163996475,0.3889604758871696,0.2508,251
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,ADA,-0.1987878227449305,-0.6654842048847456,0.5063543487728386,-0.6570654216403835,0.38149201997482357,0.4348,251
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,BTC,0.2743795411710375,1.473356230287421,0.14191296131854703,-0.07471234207022297,0.7213474659747213,0.1576,251
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,ETH,0.16238136170456197,0.5984614031973502,0.5500739270653874,-0.18760089567648208,0.522751645196398,0.3552,251
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,SOL,-0.008582191048087925,-0.021657069626197067,0.9827387844127926,-0.4858267640409434,0.48887424894159454,0.962,251
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,ADA,0.18937685403751361,0.7992791726771773,0.4248872826385748,-0.19972789065106267,0.6911816854908701,0.4472,251
43,2025-02-21,Infra_Negative,Bybit exchange hack (~$1.5B); FBI attributes to DPRK; largest exchange theft to date,BTC,-0.18361640492417816,-1.1951427579909,0.23316376443011855,-0.5551220327957568,0.22936309153647225,0.3508,251
