event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_pvalue,estimation_n
6,2019-10-24,Reg_Positive,China endorses blockchain as core technology,BTC,-0.2251973350514046,-1.0220159910758588,0.3077612787500905,-0.5803120419037576,0.37219200814178893,0.328,251
6,2019-10-24,Reg_Positive,China endorses blockchain as core technology,ETH,-0.2153243155580799,-0.8556585232925488,0.39300601161505444,-0.5653308537290671,0.25061605225838673,0.2752,251
6,2019-10-24,Reg_Positive,China endorses blockchain as core technology,ADA,-0.03591644589427234,-0.12463332287838284,0.9009140017366191,-0.3913053059434826,0.3627641998431118,0.8312,251
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,BTC,-0.36620535387985154,-1.5638913734222593,0.11910799922453719,-0.8939465157987041,0.22212644468633563,0.1888,251
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,ETH,-0.5991208597647791,-1.8915625466490893,0.05970513543702216,-1.2580001299368,0.009498249511617282,0.0636,251
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,SOL,-0.5541971488142555,-0.9746828399316405,0.33065975944128856,-1.5287653959359595,0.14919916710540249,0.178,251
16,2021-06-09,Reg_Positive,El Salvador passes Bitcoin legal tender law,ADA,-0.7306919007545634,-1.731030462035356,0.08468011813306275,-1.4353568981098324,-0.19056461359308197,0.0164,251
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,BTC,-0.060189837654929135,-0.22517625312221445,0.8220261151588053,-0.41299906412002196,0.32233327813561236,0.7408,251
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,ETH,-0.08413983510086005,-0.23369680815173027,0.8154116152371973,-0.49537425974090155,0.3676242928336163,0.7036,251
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,SOL,-0.37950215895981043,-0.7046204853739377,0.48170232907980726,-0.9683372586852623,0.2794530718162275,0.2344,251
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,ADA,-0.5741590034903861,-1.293540372343196,0.19701810772582817,-0.9998802890929642,-0.20639357418891008,0.0052,251
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,BTC,-0.029653568238312097,-0.1354143187937835,0.8923932702234316,-0.39124229981430103,0.3468895656054021,0.8644,251
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,ETH,0.0856052134878369,0.32158346329428167,0.7480369809390415,-0.3192068248810329,0.4510367450274486,0.6432,251
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,SOL,-0.07493952442467516,-0.19037425892632512,0.8491703626686831,-0.6774132896946744,0.47302554119384127,0.816,251
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,ADA,0.17466125426694612,0.5682606803431073,0.5703680230810606,-0.34528659489300806,0.7083318537813279,0.5016,251
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,BTC,0.07506692175040973,0.44705888951545664,0.6552196012924827,-0.14776330286663625,0.31615520106442135,0.5416,251
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,ETH,0.01529837405902847,0.07285362167457168,0.9419808533990117,-0.2620581641153591,0.32019659783221455,0.9084,251
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,SOL,0.4847048421737816,1.3050935877074021,0.1930609096054825,-0.025584157069684754,1.147704619056838,0.0876,251
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,ADA,0.15115211359525757,0.7092682760785387,0.47881894131769576,-0.28790083005734446,0.9475086173161491,0.634,251
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),BTC,-0.06706263613774033,-0.47676892889904066,0.6339431379877398,-0.24845778476181427,0.15536487613748307,0.506,251
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),ETH,-0.094967232238253,-0.6131195048769961,0.5403546981790224,-0.27452823356212985,0.09785025996282724,0.314,251
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),SOL,-0.2206440377723746,-0.710916096165344,0.4777989512862444,-0.5364933489530263,0.11583734048460355,0.1864,251
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),ADA,-0.09277221223436588,-0.44042015740217433,0.6600133891689139,-0.26739540509556853,0.06669900398242148,0.248,251
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,BTC,0.0041612577954986615,0.03407884945036951,0.9728414674622787,-0.30242971618345743,0.27639004753230156,0.9728,251
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,ETH,0.05958078852854649,0.4427616303857462,0.6583210095925227,-0.23399463967676845,0.423216234193392,0.732,251
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,SOL,-0.17199250432032434,-0.6319864063212116,0.5279732632589362,-0.663804975017608,0.30009949305475064,0.4856,251
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,ADA,-0.1049273105590775,-0.5349932021578508,0.5931300823545165,-0.5352262103603735,0.42341751245890646,0.6176,251
44,2025-02-27,Reg_Positive,SEC and Coinbase file joint stipulation to dismiss case,BTC,-0.19531499634616806,-1.295316978030045,0.19640572900994369,-0.5864099891491066,0.23186415758394402,0.3432,251
44,2025-02-27,Reg_Positive,SEC and Coinbase file joint stipulation to dismiss case,ETH,-0.3235371255036602,-1.6590321935992565,0.09836327331052241,-0.9076590347268957,0.26295060503564355,0.2736,251
44,2025-02-27,Reg_Positive,SEC and Coinbase file joint stipulation to dismiss case,SOL,-0.27941866188457426,-1.1185732601777796,0.26439588544360015,-1.1186526518783442,0.5966165067483999,0.5092,251
