week_start,S_gdelt_raw,S_gdelt_normalized,S_reg_decomposed,S_infra_decomposed,total_articles,total_mentions,reg_article_count,infra_article_count,reg_proportion,infra_proportion
2024-09-23 00:00:00.000000 UTC,-8.0288,-1.9104,-0.6712,-0.6196,37,276,13,12,0.3514,0.3243
2024-09-30 00:00:00.000000 UTC,-7.2311,-1.265,-0.2919,-0.2271,39,241,9,7,0.2308,0.1795
2024-10-07 00:00:00.000000 UTC,-5.7305,-0.1441,-0.048,-0.0524,33,204,11,12,0.3333,0.3636
2024-10-14 00:00:00.000000 UTC,-4.4693,0.825,0.22,0.22,45,206,12,12,0.2667,0.2667
2024-10-21 00:00:00.000000 UTC,-4.4153,0.8569,0.1168,0.1947,22,123,3,5,0.1364,0.2273
2024-10-28 00:00:00.000000 UTC,-3.2562,1.6606,0.7265,0.2768,48,224,21,8,0.4375,0.1667
2024-11-04 00:00:00.000000 UTC,-3.6745,1.3343,0.3007,0.2443,71,303,16,13,0.2254,0.1831
2024-11-11 00:00:00.000000 UTC,-10.166,-3.1323,-0.6112,-0.764,82,503,16,20,0.1951,0.2439
2024-11-18 00:00:00.000000 UTC,-2.6753,1.8307,0.3173,0.7567,75,289,13,31,0.1733,0.4133
2024-11-25 00:00:00.000000 UTC,-3.247,1.4009,0.5559,0.4447,63,249,25,20,0.3968,0.3175
2024-12-02 00:00:00.000000 UTC,-4.474,0.6514,0.2855,0.1338,73,324,32,15,0.4384,0.2055
2024-12-09 00:00:00.000000 UTC,-3.0575,1.5216,0.2977,0.2646,46,225,9,8,0.1957,0.1739
2024-12-16 00:00:00.000000 UTC,-5.3607,0.0426,0.0139,0.0139,46,235,15,15,0.3261,0.3261
2024-12-23 00:00:00.000000 UTC,-3.3479,1.3382,0.2839,0.1217,33,158,7,3,0.2121,0.0909
2024-12-30 00:00:00.000000 UTC,-5.2846,0.1007,0.0296,0.0296,34,180,10,10,0.2941,0.2941
2025-01-06 00:00:00.000000 UTC,-4.9042,0.3493,0.113,0.0822,34,194,11,8,0.3235,0.2353
2025-01-13 00:00:00.000000 UTC,-4.2723,0.7422,0.2098,0.1291,46,206,13,8,0.2826,0.1739
2025-01-20 00:00:00.000000 UTC,-3.0235,1.4775,0.4471,0.2527,76,324,23,13,0.3026,0.1711
2025-01-27 00:00:00.000000 UTC,-3.2477,1.2935,0.1805,0.2707,43,177,6,9,0.1395,0.2093
2025-02-03 00:00:00.000000 UTC,-3.9742,0.8483,0.0485,0.1697,35,186,2,7,0.0571,0.2
2025-02-10 00:00:00.000000 UTC,-5.7007,-0.2012,-0.0713,-0.0671,48,276,17,16,0.3542,0.3333
2025-02-17 00:00:00.000000 UTC,-3.6722,1.0388,0.4492,0.5896,37,192,16,21,0.4324,0.5676
2025-02-24 00:00:00.000000 UTC,-6.9633,-0.9573,-0.111,-0.2497,69,430,8,18,0.1159,0.2609
2025-03-03 00:00:00.000000 UTC,-5.0687,0.1924,0.0325,0.0325,77,364,13,13,0.1688,0.1688
2025-03-10 00:00:00.000000 UTC,-3.6326,1.042,0.1437,0.1797,58,260,8,10,0.1379,0.1724
2025-03-17 00:00:00.000000 UTC,-4.9775,0.1988,0.0546,0.0546,51,295,14,14,0.2745,0.2745
2025-03-24 00:00:00.000000 UTC,-5.1361,0.1046,0.0414,0.0243,43,202,17,10,0.3953,0.2326
2025-03-31 00:00:00.000000 UTC,-3.9382,0.838,0.2724,0.1676,40,201,13,8,0.325,0.2
2025-04-07 00:00:00.000000 UTC,-4.7487,0.3139,0.0604,0.0604,52,308,10,10,0.1923,0.1923
2025-04-14 00:00:00.000000 UTC,-6.6957,-0.8693,-0.0543,-0.1087,32,201,2,4,0.0625,0.125
2025-04-21 00:00:00.000000 UTC,-3.3515,1.167,0.2992,0.2394,39,191,10,8,0.2564,0.2051
2025-04-28 00:00:00.000000 UTC,-3.2265,1.1963,0.1759,0.1407,34,129,5,4,0.1471,0.1176
2025-05-05 00:00:00.000000 UTC,-3.7328,0.865,0.2088,0.0895,29,131,7,3,0.2414,0.1034
2025-05-12 00:00:00.000000 UTC,-6.8024,-0.9888,-0.3135,-0.2894,41,223,13,12,0.3171,0.2927
2025-05-19 00:00:00.000000 UTC,-5.1053,0.0288,0.0074,0.0041,70,373,18,10,0.2571,0.1429
2025-05-26 00:00:00.000000 UTC,-3.8613,0.7543,0.0767,0.1278,59,315,6,10,0.1017,0.1695
2025-06-02 00:00:00.000000 UTC,-4.8508,0.1498,0.0406,0.0219,48,271,13,7,0.2708,0.1458
2025-06-09 00:00:00.000000 UTC,-4.2594,0.4859,0.119,0.1388,49,265,12,14,0.2449,0.2857
2025-06-30 00:00:00.000000 UTC,-4.3202,0.4383,0.0337,0.0337,26,120,2,2,0.0769,0.0769
2025-07-07 00:00:00.000000 UTC,-2.6465,1.3869,0.1238,0.0991,112,486,10,8,0.0893,0.0714
2025-07-14 00:00:00.000000 UTC,-4.6105,0.2108,0.0866,0.0527,56,245,23,14,0.4107,0.25
2025-07-21 00:00:00.000000 UTC,-5.123,-0.1051,-0.0272,-0.0234,27,131,7,6,0.2593,0.2222
2025-07-28 00:00:00.000000 UTC,-7.8786,-1.6782,-0.2098,-0.2797,24,150,3,4,0.125,0.1667
2025-08-04 00:00:00.000000 UTC,-3.0345,1.0962,0.3869,0.1935,34,141,12,6,0.3529,0.1765
2025-08-11 00:00:00.000000 UTC,-4.1347,0.4484,0.1087,0.1223,33,131,8,9,0.2424,0.2727
2025-08-18 00:00:00.000000 UTC,-1.4545,1.8942,0.0,0.0,2,11,0,0,0.0,0.0
