week_start,S_gdelt_raw,S_gdelt_normalized,S_reg_decomposed,S_infra_decomposed,total_articles,total_mentions,reg_article_count,infra_article_count,reg_proportion,infra_proportion
2022-02-07 00:00:00.000000 UTC,-9.1751,-3.0355,-1.0348,-0.9658,44,304,15,14,0.3409,0.3182
2022-02-14 00:00:00.000000 UTC,-5.782,-0.8435,-0.3403,-0.1924,57,338,23,13,0.4035,0.2281
2022-02-21 00:00:00.000000 UTC,-5.3938,-0.5732,-0.1075,-0.0955,48,250,9,8,0.1875,0.1667
2022-02-28 00:00:00.000000 UTC,-3.363,0.7225,0.3097,0.3097,49,236,21,21,0.4286,0.4286
2022-03-07 00:00:00.000000 UTC,-4.2862,0.1278,0.0759,0.016,64,324,38,8,0.5938,0.125
2022-03-14 00:00:00.000000 UTC,-5.8722,-0.912,-0.2487,-0.2487,33,174,9,9,0.2727,0.2727
2022-03-21 00:00:00.000000 UTC,-5.322,-0.5279,-0.2464,-0.1936,30,145,14,11,0.4667,0.3667
2022-03-28 00:00:00.000000 UTC,-7.2829,-1.7201,-0.43,-0.4915,28,146,7,8,0.25,0.2857
2022-04-04 00:00:00.000000 UTC,-4.0025,0.3874,0.1245,0.0692,28,123,9,5,0.3214,0.1786
2022-04-11 00:00:00.000000 UTC,-2.275,1.4801,0.6872,0.0529,28,123,13,1,0.4643,0.0357
2022-04-18 00:00:00.000000 UTC,-4.5606,0.0138,0.0033,0.0038,29,157,7,8,0.2414,0.2759
2022-04-25 00:00:00.000000 UTC,-4.0062,0.3697,0.1275,0.102,29,136,10,8,0.3448,0.2759
2022-05-02 00:00:00.000000 UTC,-4.3811,0.1185,0.0491,0.0327,29,154,12,8,0.4138,0.2759
2022-05-09 00:00:00.000000 UTC,-5.4123,-0.5199,-0.1229,-0.0662,55,309,13,7,0.2364,0.1273
2022-05-16 00:00:00.000000 UTC,-4.452,0.0622,0.0147,0.0115,38,190,9,7,0.2368,0.1842
2022-05-23 00:00:00.000000 UTC,-2.5492,1.2722,0.106,0.212,24,109,2,4,0.0833,0.1667
2022-05-30 00:00:00.000000 UTC,-4.3281,0.1175,0.0564,0.0517,25,129,12,11,0.48,0.44
2022-06-06 00:00:00.000000 UTC,-3.4087,0.7111,0.0928,0.1855,23,103,3,6,0.1304,0.2609
2022-06-13 00:00:00.000000 UTC,-5.9239,-0.9176,-0.1907,-0.2026,77,432,16,17,0.2078,0.2208
2022-06-20 00:00:00.000000 UTC,-5.0179,-0.3261,-0.0947,-0.0631,31,173,9,6,0.2903,0.1935
2022-06-27 00:00:00.000000 UTC,-3.9076,0.4099,0.1398,0.1398,44,224,15,15,0.3409,0.3409
2022-07-04 00:00:00.000000 UTC,-4.7155,-0.1694,-0.0399,-0.0747,34,196,8,15,0.2353,0.4412
2022-07-11 00:00:00.000000 UTC,-3.7783,0.4613,0.1025,0.1794,18,96,4,7,0.2222,0.3889
2022-07-18 00:00:00.000000 UTC,-3.3446,0.7511,0.3178,0.2311,26,122,11,8,0.4231,0.3077
2022-07-25 00:00:00.000000 UTC,-3.0793,0.9247,0.2774,0.2312,20,84,6,5,0.3,0.25
2022-08-01 00:00:00.000000 UTC,-2.2864,1.4084,0.5511,0.2449,23,100,9,4,0.3913,0.1739
2022-08-08 00:00:00.000000 UTC,-6.0351,-1.0686,-0.3817,-0.4198,28,153,10,11,0.3571,0.3929
2022-08-15 00:00:00.000000 UTC,-4.9757,-0.3542,-0.1127,-0.1288,22,107,7,8,0.3182,0.3636
2022-08-22 00:00:00.000000 UTC,-5.7965,-0.92,-0.2103,-0.2891,35,203,8,11,0.2286,0.3143
2022-08-29 00:00:00.000000 UTC,-4.7475,-0.2082,-0.0378,-0.0568,22,121,4,6,0.1818,0.2727
2022-09-05 00:00:00.000000 UTC,-2.1867,1.4665,0.4258,0.4731,31,133,9,10,0.2903,0.3226
2022-09-12 00:00:00.000000 UTC,-3.2652,0.7329,0.1047,0.4537,63,263,9,39,0.1429,0.619
2022-09-19 00:00:00.000000 UTC,-3.8507,0.3198,0.0592,0.0474,27,121,5,4,0.1852,0.1481
2022-09-26 00:00:00.000000 UTC,-4.0511,0.1769,0.0811,0.0663,24,110,11,9,0.4583,0.375
2022-10-03 00:00:00.000000 UTC,-6.4292,-1.3605,-0.3527,-0.4031,27,176,7,8,0.2593,0.2963
2022-10-10 00:00:00.000000 UTC,-5.7903,-0.9013,-0.2773,-0.2426,26,133,8,7,0.3077,0.2692
2022-10-17 00:00:00.000000 UTC,-5.858,-0.9103,-0.2427,-0.1821,30,159,8,6,0.2667,0.2
2022-10-24 00:00:00.000000 UTC,-5.5886,-0.7008,-0.2803,-0.2803,30,175,12,12,0.4,0.4
2022-10-31 00:00:00.000000 UTC,-6.3067,-1.1999,-0.05,-0.25,24,133,1,5,0.0417,0.2083
2022-11-07 00:00:00.000000 UTC,-6.2424,-1.1163,-0.1717,-0.2576,52,286,8,12,0.1538,0.2308
2022-11-14 00:00:00.000000 UTC,-5.4264,-0.5939,-0.2042,-0.2599,32,187,11,14,0.3438,0.4375
2022-11-21 00:00:00.000000 UTC,-10.5416,-3.6111,-2.2182,-1.2381,70,599,43,24,0.6143,0.3429
2022-11-28 00:00:00.000000 UTC,-3.6644,0.6031,0.1624,0.1856,52,262,14,16,0.2692,0.3077
