snapped_at,price,market_cap,total_volume
2019-09-01,21.1355244248795,3301687996.65933,161113947.483002
2019-09-02,21.4386101142244,3333917857.68586,155456572.941849
2019-09-03,22.6603413070407,3524515002.35524,225699512.673706
2019-09-04,22.3970007848099,3483555883.12775,168057219.118363
2019-09-05,21.6401779755818,3363823340.35001,138391170.451348
2019-09-06,22.7119859160204,3535644062.88748,240497988.307115
2019-09-07,22.1823335275455,3451665409.02858,221300246.331425
2019-09-08,22.405261559838,3484794625.0628,177772830.639866
2019-09-09,22.4119833153078,3483513402.00324,163988232.189032
2019-09-10,22.1322232254631,3444196652.50369,129896009.099905
2019-09-11,21.7988409516548,3389666393.2276,132256912.96992
2019-09-12,20.743634713075,3226703937.58428,100902205.493444
2019-09-13,20.8020501490987,3235151260.57242,165546128.339341
2019-09-14,20.798824028291,3234398477.21978,172255194.548023
2019-09-15,21.0032863779517,3266441900.59622,136850787.446246
2019-09-16,20.3733383518201,3168780324.54537,98172597.8711976
2019-09-17,20.2366680395008,3142929831.9559,116016460.571044
2019-09-18,21.1000790224687,3288411889.42031,188263369.274085
2019-09-19,22.0708960227413,3432363359.2345,303226671.320804
2019-09-20,21.5294209107263,3346456476.30686,209186258.757726
2019-09-21,21.2749460205512,3308583744.02895,151104349.827449
2019-09-22,20.9528623904135,3260201288.46581,152366529.811833
2019-09-23,20.3863176257869,3172781422.76762,107935117.580089
2019-09-24,19.2955654460603,2998456699.9091,132462987.440565
2019-09-25,16.539149492886,2602805742.88349,244742653.457464
2019-09-26,16.0670584093931,2500762233.02311,155531906.354522
2019-09-27,15.3051457954467,2380512069.00956,144258373.64196
2019-09-28,15.6361519504608,2435098281.93584,134892136.249788
2019-09-29,15.7625238647432,2451651150.50621,129681853.260003
2019-09-30,15.2534419204835,2375227666.69941,106615424.888916
2019-10-01,15.7740186470755,2453809747.31416,122713778.608409
2019-10-02,15.8514000046867,2465857249.29804,111563896.564952
2019-10-03,15.8649120117762,2467604793.50347,112129098.456867
2019-10-04,15.6586696068567,2436210728.17852,119816855.195378
2019-10-05,15.6402211059144,2433033443.62169,122132170.658938
2019-10-06,15.6985431634996,2437851688.45445,130427428.132028
2019-10-07,15.0699780627492,2343934845.7955,108224650.252396
2019-10-08,16.064787752521,2498664282.06977,124958480.43416
2019-10-09,15.9994407526378,2488914255.48833,149960976.762833
2019-10-10,17.7717067476257,2764149180.14394,266954040.221255
2019-10-11,17.5654464733461,2732071806.84169,216512836.158646
2019-10-12,16.5680740175762,2576943773.43451,183367679.453609
2019-10-13,17.2358326799751,2680999297.68826,220552544.945218
2019-10-14,18.2562159146608,2840945535.49569,255918584.860504
2019-10-15,18.4048436788159,2867379837.75508,232507149.33811
2019-10-16,18.3961791778852,2862318783.16121,184699379.931746
2019-10-17,17.7667487606126,2764149805.04267,199939156.272769
2019-10-18,18.5081881205956,2876357780.97937,238519214.295389
2019-10-19,18.2135553300736,2832784900.52611,200783188.933688
2019-10-20,18.1786379735316,2819337301.63128,225707240.54647
2019-10-21,18.4399648686489,2860937975.99645,219624171.028622
2019-10-22,18.2708849659576,2839090495.70267,170907976.015751
2019-10-23,18.1973040347705,2829837000.26047,222405398.838989
2019-10-24,16.6608305642583,2586896306.06832,138680474.32317
2019-10-25,16.981693263706,2636185044.03739,173490599.566002
2019-10-26,18.5640819817196,2882102568.06734,320501999.956208
2019-10-27,18.8632737158309,2927524096.61024,271102380.060394
2019-10-28,19.2655939134771,2996507151.29503,270150663.99829
2019-10-29,19.8712742348372,3085921195.0666,261546869.551868
2019-10-30,20.6737575505417,3214526917.59655,245699200.313296
2019-10-31,20.0227602449786,3114274313.69105,227250569.009112
2019-11-01,19.9333051883682,3060506252.75337,243111390.90358
2019-11-02,20.0464703272792,3065691360.07582,208100622.291097
2019-11-03,20.2048838875691,3101344759.08723,249670352.956498
2019-11-04,20.1372636243761,3091534820.92062,254113226.751745
2019-11-05,20.6207311015048,3168289034.14886,216732807.626481
2019-11-06,20.6429763650443,3167283072.37667,260609369.25896
2019-11-07,20.6577588299431,3170445921.31772,191129830.55789
2019-11-08,20.4035009422793,3130183685.4414,190238362.288447
2019-11-09,19.6515023723048,3016010887.57657,155563947.012885
2019-11-10,19.7240331183262,3027753879.6897,157731752.705548
2019-11-11,20.4590613509389,3140930310.06828,213718365.299845
2019-11-12,20.1069832448421,3087724598.31536,191616951.74937
2019-11-13,20.8702225038281,3200712593.98071,210040979.454773
2019-11-14,21.3217423686929,3274179213.16084,177579377.404726
2019-11-15,21.2829284489372,3264934236.66939,224280844.378418
2019-11-16,20.2992710318143,3115427069.23527,202193597.207639
2019-11-17,20.1822833996038,3093903226.12597,206139071.856025
2019-11-18,20.0958597974818,3069364634.79709,204979868.320809
2019-11-19,19.0918190566239,2929875034.44387,194636286.512974
2019-11-20,18.4844382795768,2829908505.20979,175532220.887816
2019-11-21,18.0942543797822,2776849838.07044,177365413.932022
2019-11-22,16.7879039708589,2575265675.01245,198592122.814606
2019-11-23,15.5257397107112,2375099394.62361,329422502.351183
2019-11-24,16.2671480543109,2498755252.02204,225813970.571493
2019-11-25,15.056716641236,2339130867.92123,229491352.106787
2019-11-26,15.1903013780968,2335397726.6256,224300192.919117
2019-11-27,15.3157630442731,2353850328.78243,172816405.70923
2019-11-28,15.9600554631264,2447219831.02031,209010534.35398
2019-11-29,15.5613854207881,2387281534.22674,141878650.832867
2019-11-30,16.1559441388184,2479816860.96009,213298946.696574
2019-12-01,15.7066984745037,2410939854.06863,195044683.543643
